,Follower ID,name,username,bio,location,URL,created_at,Following,Followers,profile image url
0,1528830835465535490,David Ononiwu,davidniwu,,,,2022-05-23 20:11:11+00:00,168,22,https://pbs.twimg.com/profile_images/1528831230296342536/9gVkWcUH_normal.jpg
1,1051037900161331201,Faith Etuk,Campusbro_,We build ideas & creativity of students into fast growing brands on campus by developing structures & projects to make their journey more effective & efficient.,"Akwa Ibom, Nigeria",,2018-10-13 09:12:17+00:00,3778,2799,https://pbs.twimg.com/profile_images/1513100095071338497/zOCXMTTs_normal.jpg
2,1528449483696222209,Gideon Harry,GideonHarry8,,,,2022-05-22 18:55:52+00:00,100,8,https://pbs.twimg.com/profile_images/1528449584585969664/FDTG0RS1_normal.png
3,1377225377240784897,Cartoon Boy 🤓🇳🇬 VTOONS,iamVictoressien,"I'm a comedian, an entertainer and cartoonist. DM me if you need animations",,,2021-03-31 11:45:08+00:00,3704,1599,https://pbs.twimg.com/profile_images/1484546203295567876/2hpeeIYO_normal.jpg
4,895800226262519809,Valentino #CruzMetaNFT,Tinofino14,"OAP. Activist. Catalyst.President Rotaract Club of ABAKALIKI CB, RID 9142. Humanitarian. Brand Influencer. Radio Producer. Blogger. Media Guru. Content Creator","Ibadan, Nigeria",https://t.co/3SvnHVJY7Q,2017-08-11 00:13:11+00:00,3132,3773,https://pbs.twimg.com/profile_images/1519770465371369472/fXVsHVFe_normal.jpg
5,1513863491760926726,Ifeco martin's,Okocha7Okocha,Simple man with true love,Lagos state,,2022-04-12 12:57:39+00:00,946,225,https://pbs.twimg.com/profile_images/1523592780416704513/wfmXJNDD_normal.jpg
6,813076513532899329,Prince Ogbonna,pweence36,,PortHarcourt,,2016-12-25 17:38:41+00:00,686,107,https://pbs.twimg.com/profile_images/1366515562709450755/ATvW8jVW_normal.jpg
7,1484210367957975051,Abel Ikott,OGgreat112,Get rich or die tryin,,,2022-01-20 17:08:59+00:00,205,13,https://pbs.twimg.com/profile_images/1484211365065768965/ofdFcWHW_normal.png
8,1523161169409806336,Edo Nnaji,EdoNnaji,,,,2022-05-08 04:42:14+00:00,255,57,https://pbs.twimg.com/profile_images/1523161330332618752/wODa86kM_normal.png
9,750303858128220161,Ogaranya👑🐊,king_Emzz,,"Lagos, Nigeria",,2016-07-05 12:22:34+00:00,706,185,https://pbs.twimg.com/profile_images/1518209410199347201/AwifBfqV_normal.jpg
10,1232667799778217985,Stephie 🇨🇲🇨🇲🇨🇲🇳🇬🇳🇬🇳🇬,Stephie06442692,"Forgive and forget
What God cannot do, does not exist",,,2020-02-26 14:05:12+00:00,678,338,https://pbs.twimg.com/profile_images/1429217814620131328/ohWLARyo_normal.jpg
11,1520101017416839168,Garlandino Ovuiroye,Garlandino0,"I love Gospel music , reading non - fiction story and people know me for that/ Editorial job at Abuja,",,,2022-04-29 18:02:00+00:00,56,14,https://pbs.twimg.com/profile_images/1520101877479837697/kENTjA9J_normal.jpg
